gene	UT1	UT2	Ab1	Ab2	L1	L2	LAb1	LAb2
Prpf3	18.65360249	22.06080828	24.29451083	16.36234719	12.49080819	13.64468096	12.64449089	14.63029859
Snhg15	4.989603924	4.267191367	3.952666439	7.699081762	12.19758675	11.33098932	12.63750007	11.91661953
Nubpl	1.853067284	1.452588777	0.901653302	2.701214076	1.791159929	1.746552865	1.782607436	1.909145856
Mkks	1.358367092	1.465040795	1.410065654	2.181404406	1.185667079	1.862256272	1.738253493	1.442264707
Nudt12	1.338901925	1.847422256	1.474995946	1.512396908	0.880479914	0.854321981	0.824934681	0.985328877
Aifm1	36.74610447	38.19304242	33.30486116	39.79824631	24.4587976	26.42105079	25.15933622	27.9299631
Cog7	10.16712074	9.798539435	8.438646717	7.299742329	4.16894275	4.494071822	5.060260366	3.978759231
Sec61b	98.70127942	58.27465834	40.59613818	111.6604373	87.54337561	79.01733458	93.69643785	80.06029028
Sptlc1	11.83686861	11.73015216	9.109861428	10.85339889	6.286409239	6.096246418	6.383306089	6.533621486
Ntan1	13.24611861	11.76641341	12.96781481	17.53208595	12.26307174	12.35408368	13.29178969	12.38629474
Vta1	12.52704783	11.03106547	14.32414498	17.26254567	20.7709373	18.97116625	21.00046989	20.45081786
Hsp90ab1	1356.854785	1407.362655	1532.216324	961.27294	1084.881826	1042.518734	1112.803612	1105.909675
Ergic2	5.183587077	5.643073128	6.941069016	6.133580319	6.065316998	6.819321094	6.398562456	7.038147376
Nicn1	5.354635791	5.288157557	5.161153324	5.918709305	2.699222339	3.379397493	3.299597165	3.039432176
Dctn2	28.40674413	25.17547199	23.42809024	27.23559152	22.80086222	22.1883917	24.73358902	22.18034256
Morn2	3.121959773	2.891239404	2.99092705	4.223252728	2.283378212	1.870534882	1.99436252	2.336439864
Sec23b	20.41939372	19.67086657	17.86877813	18.89238591	23.88742602	24.40631794	25.37663327	24.97343529
